2020-12-07 09:53:22 *NORMAL*     Started on Windows 10.0.0.19042 x64. Driver status: 0xC0000225
2020-12-07 09:53:54 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 18272, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 09:53:54 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 09:59:43 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13792, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 09:59:43 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:01:54 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 20448, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:01:54 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:03:11 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 9440, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:03:11 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:07:38 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 17752, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:07:38 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:09:48 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8056, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:09:48 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:16:09 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 25444, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:16:09 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:19:39 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 21408, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:19:39 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:21:31 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 4308, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:21:31 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:24:32 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 24844, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:24:32 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:27:07 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14048, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:27:07 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:34:03 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7144, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:34:03 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:36:44 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 9456, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:36:44 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:38:20 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12176, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:38:20 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:40:49 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19564, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:40:49 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:44:50 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19644, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:44:50 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:48:22 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 24900, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:48:22 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:52:40 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 24900, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:52:40 *ERROR*      Can not attach to the process.
An attempt was made to access an exiting process.

2020-12-07 10:52:46 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 25196, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:52:46 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 10:59:49 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 2240, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 10:59:49 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:04:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 27528, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:04:16 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:07:35 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19264, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:07:35 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:11:04 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 18628, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:11:04 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:14:02 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 11324, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:14:02 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:16:14 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15288, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:16:14 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:19:17 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14332, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:19:17 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:23:37 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 23524, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:23:37 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:25:06 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15512, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:25:06 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:29:37 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16724, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:29:37 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:30:05 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16724, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:30:05 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:30:05 *ERROR*      Failed to inject image using default injection, status: 0xC000010E
2020-12-07 11:30:05 *ERROR*      Failed to inject image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'.
Error code 0xC000010E
2020-12-07 11:32:05 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 24060, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:32:05 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:34:44 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 24060, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:34:44 *ERROR*      Can not attach to the process.
An attempt was made to access an exiting process.

2020-12-07 11:34:49 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 27440, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:34:49 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:40:07 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13384, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:40:07 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:42:43 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 27580, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:42:43 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
2020-12-07 11:45:01 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19664, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-12-07 11:45:01 *CRITICAL*   Injecting image 'E:\Programming\c++\RDR2_Base\x64\Release\RDR2_Base.dll'
